Data
Headers, Channel 0 (PXI1Slot5/0) Mean, Channel 1 (PXI1Slot5/1) Mean
Channel, Channel 0, Channel 1
Measurement, Mean, Mean
Value, -1.29901745327804, 3.90057698416218
Mean, -1.5097509626645, 3.58975375715246
Minimum, -1.54728678222883, 3.53433872413818
Maximum, -1.29901745327804, 3.90057698416218
Range, 0.248269328950784, 0.366238260024008
Standard deviation, 0.0792013173686313, 0.116829161790268
Count, 9, 9
