Data
Headers, Channel 0 (PXI1Slot5/0) Amplitude, Channel 0 (PXI1Slot5/0) Maximum, Channel 0 (PXI1Slot5/0) Frequency
Channel, Channel 0, Channel 0, Channel 0
Measurement, Amplitude, Maximum, Frequency
Value, 0.639069948345423, 0.326241900678724, 2.02271245153164
Mean, 0.0641591648214301, 0.43278171949194, 4227.69305723897
Minimum, 0.00337884066539118, -0.180536497849971, 0
Maximum, 8.2203933801502, 2.66135735949501, 48169.2253700429
Range, 8.21701453948481, 2.84189385734499, 48169.2253700429
Standard deviation, 0.448416908004189, 0.579216803838951, 7809.02396927176
Count, 354, 265, 354
