Test ,SG1 hi,SG1 Lo,SG2 Hi,SG2 Lo,SG3 Hi,SG3 Lo,Gage W,gage thickness,gage length,Specimen Type (0-sheet;1-round),TC Type,N _sens,"E Bar, Inc","E Bar, Trans",Window [µs],Refl-Inc,Trans-Inc,DIC (0=yes),num_gages,tgage_type (0=separate axial&poisson),spec_type[0-sheet],kistler (0=none),DIC File1,DIC FileLast,DIC Frame Rate,DIC eyy Col
804,66.079,5.323,18.657,-36.705,34.28,-26.85,0.003,0.0014,0.004,0,0,0,190,70,1100,0.00048,0.000344,0,3,0,0,0,7,38,75000,7
804,66.079,5.323,18.657,-36.705,34.28,-26.85,0.003,0.0014,0.007,0,0,0,190,70,1100,0.00048,0.000344,0,3,0,0,0,7,38,75000,7
