 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,0.000405514,-0.212321,-0.0188153,-0.00116414,0.0286066,-0.00879638,0.0310114,-0.00356896,-1.30393,0.00700473,41,29,0.135994,4.57786,6.88759,1.07878,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00158706,-0.211589,-0.0172702,-0.00062392,0.0275445,-0.00673154,0.0290705,-0.00214992,-1.34787,0.00663884,48,29,0.0863291,4.56716,6.80692,1.13437,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00274466,-0.210849,-0.0150888,-0.00018903,0.0266902,-0.00464776,0.0274712,-0.000969997,-1.40432,0.00648259,55,29,0.0503032,4.55042,6.73354,1.19142,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.0032794,-0.210391,-0.013352,0.000133161,0.0260475,-0.00254119,0.0262943,-0.00011368,-1.47396,0.00625509,62,29,0.0294204,4.53479,6.66418,1.26675,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00333771,-0.210376,-0.0124361,0.000336122,0.0256196,-0.000407945,0.0256261,0.000329541,-1.55467,0.00625539,69,29,0.0227283,4.52804,6.60146,1.35782,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00352371,-0.210728,-0.0124028,0.00041432,0.0254087,0.00175608,0.0255315,0.000291542,1.50099,0.00675654,76,29,0.0181918,4.53219,6.51399,1.45744,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00434698,-0.210774,-0.0125408,0.000363354,0.0254161,0.0039554,0.0260257,-0.0002463,1.41787,0.00739307,83,29,0.00153014,4.53325,6.39141,1.55919,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00749349,-0.225421,-0.0284253,-0.0112968,0.0464281,-0.00774518,0.0474492,-0.0123179,-1.43971,0.00857243,41,36,0.333736,4.8619,6.95154,1.06301,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.00297957,-0.222594,-0.0250298,-0.010971,0.0456853,-0.00588193,0.0462895,-0.0115752,-1.46843,0.00731425,48,36,0.222192,4.80318,6.8318,1.07558,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.000191333,-0.220649,-0.0219507,-0.0107238,0.0451023,-0.00399947,0.0453874,-0.0110089,-1.49964,0.00711728,55,36,0.140001,4.7643,6.73176,1.10152,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,-0.00196925,-0.219587,-0.0195569,-0.0105613,0.0446817,-0.00209375,0.0447609,-0.0106406,-1.53297,0.00666402,62,36,0.0900269,4.73716,6.65069,1.15887,6.80199,-3.3772
0.354932,3.89602,-0.00604988,-0.00290226,-0.219404,-0.0181398,-0.0104893,0.0444255,-0.000160713,0.044426,-0.0104898,-1.56787,0.00652619,69,36,0.0626435,4.72657,6.57601,1.24251,6.73895,-3.29079
0.697311,3.89739,-0.00619977,-0.00436088,-0.220289,-0.0186887,-0.0105126,0.0443353,0.00180385,0.0443946,-0.0105719,1.53796,0.00729604,76,36,0.0351248,4.746,6.46035,1.35376,6.65648,-3.19673
1.03984,3.89854,-0.00540446,-0.00733121,-0.221756,-0.020191,-0.0106352,0.0444115,0.00380447,0.0446732,-0.0108969,1.50212,0.00835534,83,36,-0.0182535,4.78104,6.31061,1.48151,6.57578,-3.09693
-1.01778,3.56343,-0.00670129,0.0194733,-0.244895,-0.0365593,-0.0208003,0.0635015,-0.00660705,0.0640161,-0.021315,-1.49306,0.0100086,41,43,0.624243,5.2915,7.12017,1.16954,6.92989,-3.93282
-0.67495,3.56498,-0.00659257,0.0117861,-0.239206,-0.0332716,-0.0206676,0.0630392,-0.0049647,0.0633326,-0.0209611,-1.51176,0.00823602,48,43,0.447889,5.16284,6.93556,1.1326,6.88416,-3.84558
-0.332005,3.56659,-0.00569489,0.00514528,-0.235288,-0.0303287,-0.0205876,0.0626907,-0.00330437,0.0628216,-0.0207186,-1.5312,0.00829206,55,43,0.29515,5.08072,6.77102,1.1195,6.8386,-3.76381
0.0108772,3.56798,-0.00468418,0.000257516,-0.233213,-0.0280626,-0.0205658,0.0624578,-0.0016217,0.0624895,-0.0205974,-1.55127,0.00791066,62,43,0.182052,5.03414,6.63101,1.15924,6.78568,-3.67376
0.353658,3.56936,-0.00369828,-0.00335542,-0.232925,-0.0273006,-0.0206069,0.0623417,8.76813e-05,0.0623418,-0.020607,1.56974,0.00778826,69,43,0.10321,5.02587,6.49971,1.23973,6.72401,-3.58434
0.695971,3.57076,-0.00416309,-0.00837507,-0.235216,-0.0291271,-0.0207155,0.0623433,0.00182823,0.0623835,-0.0207557,1.5488,0.00844881,76,43,0.00960097,5.07962,6.30129,1.3748,6.63806,-3.4929
1.03868,3.57217,-0.00273472,-0.0153532,-0.238731,-0.030889,-0.0208954,0.0624626,0.00360466,0.0626182,-0.021051,1.52766,0.00909194,83,43,-0.124396,5.15979,6.07603,1.5278,6.56431,-3.40754
-1.01932,3.23705,-0.00518092,0.0347185,-0.270902,-0.0416438,-0.0294059,0.0793839,-0.00541215,0.0796525,-0.0296745,-1.52121,0.010078,41,50,0.965835,5.86967,7.37746,1.40394,6.90626,-4.22913
-0.676468,3.23864,-0.00505512,0.0237157,-0.262618,-0.0396791,-0.029449,0.0791601,-0.00400248,0.0793074,-0.0295963,-1.53401,0.00868626,48,50,0.728317,5.67086,7.11755,1.32644,6.86068,-4.14585
