 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-0.00198992,-0.235313,-0.0486694,-0.000605964,0.0243544,-0.00878953,0.0271389,-0.00339047,-1.264,0.00799983,41,29,0.250697,5.0978,6.67211,1.60739,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00359972,-0.234352,-0.0474115,-0.000104287,0.0233368,-0.00682617,0.0251797,-0.00194721,-1.3071,0.00749649,48,29,0.209592,5.08081,6.59696,1.66044,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00458598,-0.233385,-0.0462375,0.000304675,0.0225203,-0.00485752,0.023536,-0.000711001,-1.36467,0.00747984,55,29,0.181721,5.06424,6.5209,1.71055,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00496921,-0.232874,-0.0450481,0.000613144,0.0219093,-0.00287966,0.0222918,0.000230627,-1.43874,0.00748744,62,29,0.166139,5.05369,6.45106,1.78004,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00485102,-0.232937,-0.044401,0.000814137,0.0215075,-0.000888601,0.0215456,0.000776049,-1.52796,0.00758026,69,29,0.163766,5.05383,6.3899,1.86813,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00487053,-0.233474,-0.0444509,0.000901616,0.0213174,0.00111992,0.0213787,0.000840368,1.51616,0.00796116,76,29,0.162298,5.06201,6.30469,1.97162,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00549475,-0.233892,-0.0446727,0.000870607,0.0213408,0.00315056,0.0218147,0.000396679,1.42149,0.00823192,83,29,0.149371,5.06954,6.18495,2.08268,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00546639,-0.246732,-0.0585854,-0.0106865,0.0421635,-0.00768955,0.0432596,-0.0117826,-1.42921,0.00927167,41,36,0.457501,5.35699,6.74216,1.54521,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.00123986,-0.24372,-0.0560248,-0.0103771,0.0414587,-0.00591829,0.0421259,-0.0110442,-1.45855,0.00799037,48,36,0.355519,5.29367,6.62293,1.55696,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.00185113,-0.241718,-0.0543086,-0.0101344,0.0409061,-0.00414133,0.0412399,-0.0104682,-1.49036,0.00804962,55,36,0.281466,5.25473,6.51623,1.58417,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,-0.00352913,-0.240602,-0.0528928,-0.00996513,0.0405085,-0.00235451,0.0406181,-0.0100747,-1.52428,0.00798474,62,36,0.237975,5.23088,6.43111,1.63858,6.80199,-3.3772
0.354932,3.89602,-0.00604988,-0.00423814,-0.240402,-0.0520385,-0.00987539,0.0402686,-0.00055366,0.0402747,-0.00988151,-1.55976,0.00790157,69,36,0.217388,5.22528,6.35724,1.718,6.73895,-3.29079
0.697311,3.89739,-0.00619977,-0.00553034,-0.241592,-0.052563,-0.00987049,0.040188,0.00126559,0.04022,-0.00990247,1.54554,0.00828724,76,36,0.192294,5.24767,6.24431,1.83894,6.65648,-3.19673
1.03984,3.89854,-0.00540446,-0.00836338,-0.243581,-0.0537829,-0.00995499,0.0402678,0.00310794,0.0404594,-0.0101466,1.50923,0.0087761,83,36,0.139413,5.28941,6.09815,1.98107,6.57578,-3.09693
-1.01778,3.56343,-0.00670129,0.0173471,-0.264654,-0.0675812,-0.0201518,0.0592036,-0.00652725,0.0597369,-0.0206851,-1.48927,0.0102279,41,43,0.75044,5.75868,6.9041,1.61513,6.92989,-3.93282
-0.67495,3.56498,-0.00659257,0.0099833,-0.258891,-0.0649965,-0.0200126,0.0587774,-0.00496251,0.0590887,-0.0203239,-1.50814,0.00856806,48,43,0.583721,5.63086,6.72156,1.57616,6.88416,-3.84558
-0.332005,3.56659,-0.00569489,0.00351018,-0.255079,-0.0631252,-0.0199155,0.0584564,-0.00339283,0.058603,-0.0200622,-1.52761,0.00901564,55,43,0.439345,5.55006,6.55371,1.56909,6.8386,-3.76381
0.0108772,3.56798,-0.00468418,-0.00140388,-0.252935,-0.0623513,-0.0198665,0.0582426,-0.00181378,0.0582847,-0.0199086,-1.54759,0.00910242,62,43,0.332855,5.50502,6.40414,1.60829,6.78568,-3.67376
0.353658,3.56936,-0.00369828,-0.00488555,-0.252495,-0.0625753,-0.0198709,0.0581375,-0.000220897,0.0581382,-0.0198715,-1.56796,0.00890554,69,43,0.261096,5.49736,6.26933,1.68436,6.72401,-3.58434
0.695971,3.57076,-0.00416309,-0.00964472,-0.255086,-0.0637826,-0.0199335,0.0581422,0.00139042,0.0581669,-0.0199582,1.553,0.00899341,76,43,0.168694,5.55467,6.07893,1.82677,6.63806,-3.4929
1.03868,3.57217,-0.00273472,-0.0162752,-0.259198,-0.0645659,-0.0200586,0.058257,0.00302507,0.0583737,-0.0201753,1.53225,0.00926755,83,43,0.0358166,5.64032,5.8654,1.9967,6.56431,-3.40754
-1.01932,3.23705,-0.00518092,0.0323473,-0.289353,-0.0738157,-0.0287366,0.0750528,-0.00533713,0.0753266,-0.0290104,-1.51955,0.0102098,41,50,1.09286,6.29908,7.14969,1.83369,6.90626,-4.22913
-0.676468,3.23864,-0.00505512,0.0216316,-0.281081,-0.0723013,-0.0287478,0.0748628,-0.00398689,0.075016,-0.028901,-1.53239,0.00882027,48,50,0.86307,6.11767,6.89294,1.74048,6.86068,-4.14585
-0.333636,3.24021,-0.00465196,0.0117168,-0.275853,-0.0718669,-0.0287776,0.0747348,-0.00263273,0.0748017,-0.0288446,-1.54538,0.00964699,55,50,0.65576,6.00519,6.64141,1.7091,6.80963,-4.06295
0.00920848,3.24153,-0.00385367,0.0023515,-0.273285,-0.0721122,-0.0288312,0.0746697,-0.00127002,0.0746853,-0.0288468,-1.55853,0.0101693,62,50,0.463553,5.95273,6.39334,1.73972,6.7543,-3.97179
0.352164,3.24288,-0.00225852,-0.00664096,-0.27335,-0.0731769,-0.0289134,0.0746685,0.000105905,0.0746686,-0.0289135,1.56977,0.010325,69,50,0.283458,5.95476,6.14864,1.82489,6.69921,-3.88456
0.694616,3.24448,-0.00223742,-0.0167594,-0.276753,-0.0739176,-0.0290287,0.0747315,0.00149986,0.0747532,-0.0290504,1.55635,0.00975365,76,50,0.0788848,6.02889,5.85782,1.96907,6.61859,-3.80491
1.03703,3.24621,-0.00199656,-0.0273767,-0.282156,-0.0733883,-0.0291814,0.074859,0.00291685,0.0749407,-0.0292631,1.54279,0.00915596,83,50,-0.142554,6.13857,5.55835,2.15136,6.53198,-3.732
-1.02065,2.91062,-0.00293941,0.0471443,-0.319997,-0.0789418,-0.0363102,0.0894691,-0.00418087,0.0896079,-0.036449,-1.53761,0.010343,41,57,1.42573,6.962,7.40499,2.1736,6.89052,-4.52705
-0.677847,2.91233,-0.00305171,0.0332191,-0.311074,-0.0791387,-0.0364518,0.0894676,-0.00304299,0.0895411,-0.0365252,-1.54665,0.00905051,48,57,1.13949,6.77011,7.07067,2.06039,6.84232,-4.44998
-0.335197,2.91389,-0.00340866,0.0196106,-0.305121,-0.0797821,-0.0365895,0.0894889,-0.00190236,0.0895176,-0.0366182,-1.55571,0.00971009,55,57,0.862331,6.64468,6.72962,2.01251,6.78289,-4.36723
0.00759839,2.91526,-0.00285868,0.00531629,-0.301733,-0.0809301,-0.036728,0.0895333,-0.000754288,0.0895378,-0.0367325,-1.56482,0.0102097,62,57,0.573907,6.56864,6.37352,2.02912,6.72481,-4.27942
0.350744,2.9167,-0.000589742,-0.00925248,-0.302232,-0.0814143,-0.0368718,0.0896012,0.000405983,0.0896025,-0.0368731,1.56759,0.00988582,69,57,0.276617,6.57606,6.02643,2.11562,6.67706,-4.19972
0.693335,2.91857,-8.23735e-05,-0.0238423,-0.306404,-0.0816037,-0.0370252,0.0896926,0.00158332,0.0897124,-0.037045,1.5583,0.00909366,76,57,-0.0223969,6.66426,5.65363,2.26001,6.60179,-4.13462
1.03568,2.91994,-0.000179301,-0.0382998,-0.312838,-0.0808432,-0.0371925,0.0898075,0.00278275,0.0898685,-0.0372535,1.5489,0.00873921,83,57,-0.323635,6.79811,5.27413,2.47254,6.51129,-4.04817
-1.02205,2.58432,-0.00104465,0.0585722,-0.355693,-0.0830331,-0.0428585,0.10233,-0.0031123,0.102396,-0.0429252,-1.54937,0.009917,41,64,1.6847,7.72833,7.59377,2.61077,6.87106,-4.83126
