Data
Headers, Channel 0 (PXI1Slot5/0) Mean, Channel 1 (PXI1Slot5/1) Mean
Channel, Channel 0, Channel 1
Measurement, Mean, Mean
Value, -3.92074063407849, 9.49091482948694
Mean, -2.19161590458072, 4.12971978769907
Minimum, -3.92074063407849, -7.52845565087442
Maximum, 3.93263074594536, 9.49091482948694
Range, 7.85337138002385, 17.0193704803614
Standard deviation, 2.83935969327867, 5.43709997917555
Count, 57, 57
