 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,7.33251e-05,7.806e-05,0.000379719,-2.97157e-05,0.000105191,-2.38675e-05,0.000109289,-3.38138e-05,-1.40075,0.00246754,41,29,-0.000501254,0.00209293,6.98818,-3.3233,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,7.41533e-05,0.000137885,-0.000350562,-5.74737e-05,6.06116e-05,-7.09658e-05,9.38846e-05,-9.07467e-05,-1.13237,0.00232281,48,29,0.00339025,-0.00171654,6.93556,-3.23762,6.936,-3.23457
-0.329216,4.21912,-0.00980428,5.13289e-06,0.000121814,-0.000689239,-8.69935e-05,1.37184e-05,-0.000113168,8.72284e-05,-0.000160503,-0.994728,0.00242661,55,29,0.003746,-0.00370028,6.87053,-3.15456,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-7.94779e-05,5.8456e-05,-0.000517505,-0.000117961,-3.54767e-05,-0.000150233,7.90722e-05,-0.00023251,-0.919358,0.00247691,62,29,0.00107946,-0.00365309,6.80205,-3.06704,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.000136464,-1.79812e-05,-0.000299336,-0.00015007,-8.69392e-05,-0.000181942,6.61548e-05,-0.000303164,-0.871289,0.00249131,69,29,-0.00124735,-0.00249375,6.73604,-2.97677,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.000149304,-0.000132991,-0.000190179,-0.000183027,-0.000140623,-0.000208104,4.73557e-05,-0.000371006,-0.836164,0.00255249,76,29,-0.00208851,-0.000785484,6.65306,-2.88343,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.000194459,-0.000176331,-0.000125726,-0.000216545,-0.000196479,-0.000228559,2.22666e-05,-0.000435291,-0.807332,0.00259998,83,29,-0.00335479,-0.000218158,6.54779,-2.78015,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.000149044,2.40149e-05,-4.78354e-07,-1.73951e-05,7.51907e-05,1.92782e-05,7.90445e-05,-2.12488e-05,1.3735,0.00271491,41,36,0.00313086,0.00596599,6.96191,-3.63339,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.000115299,7.32171e-05,-0.000552105,-4.20774e-05,3.87227e-05,-2.58268e-05,4.62725e-05,-4.96272e-05,-1.2864,0.00229359,48,36,0.00533767,0.00120312,6.91159,-3.54363,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,8.62125e-05,8.05853e-05,-0.000777315,-6.86001e-05,4.80233e-07,-6.59247e-05,4.03651e-05,-0.000108485,-1.0267,0.00236852,55,36,0.00587794,-0.00274471,6.85714,-3.45926,6.85982,-3.46084
