File:    C:\exports\T804.txt
Created: Friday, April 28, 2017 12:54:49 PM
Header time format: Absolute
Time of first sample: 118 12:53:47.693618299
Title:   T804

Time	Vel 1 Sense	SG3 TBar Axial	Thermocouple	Flash Trigger	TBar Poisson	IR 1	Gun Fire 24V	Vel 2 Sense	SG2 IBar	Photron Exp Out 1	Photron Exp Out 2	IR 2	Ev C1_01	Ev C1_08
s	V	V	V	V	V		V	V	V					
1.9E-005	4.8547	-0.0361235	-3.52991E-005	4.97491	-0.026498	0	23.9369	4.88103	0.00524456	0	0	0	0	0
1.95E-005	4.85164	-0.0361638	-3.86458E-005	4.97491	-0.026481	0	23.9302	4.88103	0.00526464	0	0	0	0	0
2E-005	4.85198	-0.03611	-3.86458E-005	4.96334	-0.026464	0	23.9235	4.88001	0.0051977	0	0	0	0	0
2.05E-005	4.85198	-0.0361269	-3.86458E-005	4.96674	-0.0265321	0	23.9167	4.88035	0.00523452	0	0	0	0	0
2.1E-005	4.85198	-0.0361571	-3.86458E-005	4.97083	-0.0264062	0	23.9083	4.88103	0.00533827	0	0	0	0	0
2.15E-005	4.85198	-0.0360966	-3.86458E-005	4.97968	-0.0264878	0	23.9015	4.88171	0.00524456	0	0	0	0	0
2.2E-005	4.85368	-0.0361336	-3.86458E-005	4.97559	-0.0264572	0	23.8948	4.87967	0.00527133	0	0	0	0	0
2.25E-005	4.85334	-0.036184	-3.86458E-005	4.97559	-0.0264844	0	23.8914	4.88035	0.0052479	0	0	0	0	0
2.3E-005	4.85266	-0.0361269	-3.86458E-005	4.97015	-0.0263722	0	23.8914	4.88001	0.00527803	0	0	0	0	0
2.35E-005	4.85334	-0.0361302	-3.86458E-005	4.9647	-0.0264538	0	23.8914	4.87797	0.00535166	0	0	0	0	0
2.4E-005	4.85266	-0.0361302	-3.52991E-005	4.96742	-0.0264266	0	23.8914	4.87593	0.00525794	0	0	0	0	0
2.45E-005	4.85368	-0.0360831	-3.52991E-005	4.9681	-0.0264368	0	23.8914	4.87865	0.00522113	0	0	0	0	0
2.5E-005	4.85436	-0.0361605	-3.52991E-005	4.97151	-0.0264266	0	23.8897	4.87729	0.00526464	0	0	0	0	0
2.55E-005	4.85266	-0.0361739	-3.19524E-005	4.97287	-0.0264436	0	23.8881	4.88069	0.00523117	0	0	0	0	0
2.6E-005	4.85775	-0.036063	-3.19524E-005	4.96879	-0.0264844	0	23.8881	4.88069	0.00521444	0	0	0	0	0
2.65E-005	4.85368	-0.0361269	-3.19524E-005	4.97083	-0.0264538	0	23.8881	4.88069	0.00521444	0	0	0	0	0
2.7E-005	4.85368	-0.0361369	-3.19524E-005	4.97219	-0.0264606	0	23.8881	4.87967	0.00534162	0	0	0	0	0
2.75E-005	4.85572	-0.0361235	-3.19524E-005	4.97287	-0.0265185	0	23.8897	4.88001	0.00530815	0	0	0	0	0
2.8E-005	4.8547	-0.0361168	-3.52991E-005	4.96947	-0.0264538	0	23.8881	4.88069	0.0053048	0	0	0	0	0
2.85E-005	4.85605	-0.0361605	-3.52991E-005	4.97355	-0.0264674	0	23.8847	4.88307	0.00528807	0	0	0	0	0
2.9E-005	4.85639	-0.0362277	-3.52991E-005	4.97628	-0.0264402	0	23.8813	4.88001	0.00529811	0	0	0	0	0
2.95E-005	4.85673	-0.0361672	-3.86458E-005	4.96879	-0.0265321	0	23.8813	4.88137	0.00527468	0	0	0	0	0
3E-005	4.85572	-0.0361302	-3.86458E-005	4.96674	-0.0266307	0	23.883	4.87967	0.00521444	0	0	0	0	0
3.05E-005	4.85538	-0.0361504	-4.19924E-005	4.9681	-0.026413	0	23.8914	4.88205	0.00534162	0	0	0	0	0
3.1E-005	4.85572	-0.0361336	-4.19924E-005	4.96538	-0.0264708	0	23.9083	4.88171	0.00526464	0	0	0	0	0
3.15E-005	4.85877	-0.0361571	-4.19924E-005	4.97696	-0.026413	0	23.9285	4.88205	0.00530145	0	0	0	0	0
3.2E-005	4.85741	-0.0361538	-4.53391E-005	4.96879	-0.0264912	0	23.9454	4.88205	0.00527803	0	0	0	0	0
3.25E-005	4.85741	-0.0361403	-4.53391E-005	4.96674	-0.0264674	0	23.9504	4.87967	0.00530145	0	0	0	0	0
3.3E-005	4.85639	-0.0361706	-4.53391E-005	4.96674	-0.0263722	0	23.9504	4.87763	0.00528472	0	0	0	0	0
3.35E-005	4.85639	-0.0361638	-4.53391E-005	4.97355	-0.0263994	0	23.9471	4.87865	0.00528807	0	0	0	0	0
3.4E-005	4.85843	-0.0361403	-4.53391E-005	4.9681	-0.0263552	0	23.9437	4.88069	0.00533492	0	0	0	0	0
3.45E-005	4.85945	-0.0361302	-4.53391E-005	4.98036	-0.0264232	0	23.9386	4.88205	0.00530145	0	0	0	0	0
3.5E-005	4.85741	-0.0361638	-4.19924E-005	4.98445	-0.0264334	0	23.9302	4.87899	0.0053617	0	0	0	0	0
3.55E-005	4.85979	-0.0361437	-4.19924E-005	4.97219	-0.026379	0	23.9218	4.88477	0.00524456	0	0	0	0	0
3.6E-005	4.86012	-0.0362076	-4.19924E-005	4.97628	-0.0263722	0	23.9133	4.88239	0.00533158	0	0	0	0	0
3.65E-005	4.85843	-0.0361269	-4.19924E-005	4.97423	-0.0263279	0	23.9083	4.88273	0.00526799	0	0	0	0	0
3.7E-005	4.85809	-0.0361336	-4.19924E-005	4.97151	-0.0263824	0	23.9049	4.88341	0.00527803	0	0	0	0	0
3.75E-005	4.85775	-0.0360529	-4.19924E-005	4.97968	-0.026379	0	23.9032	4.88273	0.00527468	0	0	0	0	0
3.8E-005	4.86012	-0.0361571	-3.86458E-005	4.97832	-0.0264028	0	23.8999	4.88273	0.00527803	0	0	0	0	0
3.85E-005	4.8608	-0.0361504	-3.86458E-005	4.97423	-0.0264334	0	23.8982	4.88205	0.0052479	0	0	0	0	0
3.9E-005	4.86046	-0.03611	-3.52991E-005	4.97287	-0.0264164	0	23.8948	4.88307	0.00523117	0	0	0	0	0
3.95E-005	4.86012	-0.0361168	-3.52991E-005	4.97559	-0.0265593	0	23.8931	4.88205	0.00514415	0	0	0	0	0
