 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,0.00403432,-0.156792,-0.0356966,-0.000848816,0.0261034,-0.00852827,0.0285752,-0.00332065,-1.28869,0.00739919,41,29,0.294371,3.41939,6.8674,-0.0463774,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,0.00235635,-0.156585,-0.0343874,-0.000411839,0.0254519,-0.00657028,0.0270252,-0.00198521,-1.33576,0.00703529,48,29,0.252135,3.41963,6.79145,0.0214436,6.936,-3.23457
-0.329216,4.21912,-0.00980428,0.00155409,-0.15623,-0.0325039,-8.68664e-05,0.0249837,-0.00459496,0.0257993,-0.000902499,-1.39512,0.00694643,55,29,0.224647,3.4088,6.72316,0.0900966,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,0.0012033,-0.156008,-0.0314207,0.000119684,0.0247024,-0.00259899,0.0249742,-0.000152088,-1.46661,0.00683023,62,29,0.210678,3.39753,6.65344,0.173234,6.80666,-3.06968
0.355915,4.22232,-0.00960574,0.00128453,-0.156068,-0.0315825,0.000202168,0.0246108,-0.000579056,0.0246245,0.000188438,-1.54709,0.00693539,69,29,0.212213,3.39389,6.58707,0.267733,6.74059,-2.98082
0.698255,4.22383,-0.00984672,0.00116567,-0.156445,-0.0324145,0.00015585,0.0247108,0.00146838,0.0247983,6.83516e-05,1.51128,0.00747912,76,29,0.213241,3.39949,6.49565,0.369761,6.65727,-2.89029
1.0402,4.22511,-0.0112685,0.000560069,-0.156453,-0.0325781,-2.29725e-05,0.0250036,0.00354722,0.0254966,-0.000516036,1.43268,0.00792406,83,29,0.200775,3.4,6.37691,0.470962,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.0103429,-0.168708,-0.0457254,-0.00972509,0.0411334,-0.00745729,0.0422043,-0.010796,-1.42817,0.00826783,41,36,0.478322,3.67583,6.9132,-0.083885,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.00649717,-0.166521,-0.0430696,-0.0094746,0.0407916,-0.00569622,0.041429,-0.010112,-1.45936,0.00718812,48,36,0.384165,3.63344,6.80259,-0.058068,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,0.00389093,-0.165014,-0.0404678,-0.00931227,0.0405891,-0.0039179,0.0408949,-0.009618,-1.49292,0.00725259,55,36,0.315726,3.60149,6.71086,-0.0188152,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,0.00248752,-0.164364,-0.038794,-0.0092435,0.0405283,-0.00211893,0.0406183,-0.00933355,-1.52833,0.00717172,62,36,0.276896,3.58166,6.63287,0.0510236,6.80199,-3.3772
0.354932,3.89602,-0.00604988,0.00189517,-0.164412,-0.0383964,-0.00927305,0.040611,-0.00029592,0.0406127,-0.0092748,-1.56486,0.00719712,69,36,0.261516,3.57623,6.55887,0.142497,6.73895,-3.29079
0.697311,3.89739,-0.00619977,0.000672607,-0.165368,-0.0392936,-0.00940498,0.0408383,0.00155466,0.0408864,-0.00945304,1.53989,0.00777737,76,36,0.240262,3.5968,6.44556,0.256954,6.65648,-3.19673
1.03984,3.89854,-0.00540446,-0.00205359,-0.166666,-0.0404665,-0.00964254,0.0412108,0.00343663,0.041442,-0.00987373,1.50362,0.00833759,83,36,0.18975,3.62932,6.30225,0.379689,6.57578,-3.09693
-1.01778,3.56343,-0.00670129,0.0208757,-0.185735,-0.0539144,-0.0179258,0.0553144,-0.00632295,0.0558563,-0.0184677,-1.48531,0.00897389,41,43,0.7393,4.05021,7.05217,-0.0258353,6.92989,-3.93282
-0.67495,3.56498,-0.00659257,0.0142186,-0.181257,-0.0514496,-0.0178455,0.0552417,-0.00477532,0.0555524,-0.0181562,-1.50583,0.007505,48,43,0.588271,3.95336,6.88367,-0.0407133,6.88416,-3.84558
-0.332005,3.56659,-0.00569489,0.00847536,-0.17819,-0.0493722,-0.0178296,0.0552661,-0.00321194,0.0554069,-0.0179705,-1.52697,0.00786183,55,43,0.458211,3.88823,6.73204,-0.031987,6.8386,-3.76381
0.0108772,3.56798,-0.00468418,0.00429833,-0.17674,-0.0479768,-0.0178827,0.0553888,-0.00162919,0.055425,-0.0179189,-1.54858,0.00796997,62,43,0.363921,3.85242,6.60102,0.026251,6.78568,-3.67376
0.353658,3.56936,-0.00369828,0.00125415,-0.176716,-0.0480785,-0.018009,0.0556111,-2.34883e-05,0.0556111,-0.018009,-1.57048,0.00808002,69,43,0.300902,3.84947,6.4759,0.1154,6.72401,-3.58434
0.695971,3.57076,-0.00416309,-0.00313646,-0.17892,-0.0499295,-0.0182119,0.0559336,0.00160887,0.0559685,-0.0182468,1.54911,0.00852834,76,43,0.219851,3.90022,6.28959,0.250512,6.63806,-3.4929
1.03868,3.57217,-0.00273472,-0.00943156,-0.181998,-0.0512975,-0.0184946,0.0563563,0.00327183,0.0564991,-0.0186373,1.5272,0.00894075,83,43,0.0973285,3.97226,6.07998,0.392855,6.56431,-3.40754
-1.01932,3.23705,-0.00518092,0.0340683,-0.208095,-0.0597266,-0.0252321,0.0683265,-0.00516769,0.0686111,-0.0255167,-1.51578,0.00947607,41,50,1.04246,4.5459,7.2637,0.138521,6.90626,-4.22913
-0.676468,3.23864,-0.00505512,0.0243296,-0.201628,-0.0585125,-0.025306,0.0684742,-0.00384058,0.0686312,-0.025463,-1.52993,0.00795015,48,50,0.834791,4.3984,7.02526,0.0888887,6.86068,-4.14585
-0.333636,3.24021,-0.00465196,0.0154109,-0.197547,-0.058319,-0.0254208,0.0686799,-0.00250004,0.0687463,-0.0254871,-1.54425,0.00831515,55,50,0.649654,4.31029,6.79284,0.08285,6.80963,-4.06295
0.00920848,3.24153,-0.00385367,0.00727255,-0.195865,-0.0585439,-0.0255804,0.0689446,-0.00114231,0.0689584,-0.0255942,-1.55871,0.00868808,62,50,0.48288,4.27377,6.56991,0.135712,6.7543,-3.97179
0.352164,3.24288,-0.00225852,-0.000611895,-0.196286,-0.0596786,-0.0257884,0.0692686,0.000236412,0.0692692,-0.025789,1.56831,0.00919914,69,50,0.326231,4.28141,6.34742,0.231378,6.69921,-3.88456
0.694616,3.24448,-0.00223742,-0.00987968,-0.199309,-0.0611909,-0.0260481,0.0696523,0.00163999,0.0696804,-0.0260762,1.55367,0.00910426,76,50,0.143509,4.34947,6.06968,0.368603,6.61859,-3.80491
1.03703,3.24621,-0.00199656,-0.0198357,-0.20377,-0.0610639,-0.0263624,0.0700956,0.00307249,0.0701934,-0.0264601,1.53899,0.00880131,83,50,-0.061888,4.44728,5.7817,0.524975,6.53198,-3.732
-1.02065,2.91062,-0.00293941,0.046714,-0.235401,-0.0645631,-0.0315628,0.0800027,-0.00404942,0.0801494,-0.0317096,-1.53456,0.00995136,41,57,1.32966,5.14253,7.47725,0.404225,6.89052,-4.52705
-0.677847,2.91233,-0.00305171,0.0340945,-0.228573,-0.0651957,-0.0317712,0.0803181,-0.00294077,0.0803952,-0.0318483,-1.54458,0.00845886,48,57,1.07296,4.9881,7.1671,0.343702,6.84232,-4.44998
-0.335197,2.91389,-0.00340866,0.0218579,-0.224284,-0.0664162,-0.0319977,0.0806564,-0.00182151,0.0806858,-0.0320271,-1.55463,0.00877167,55,57,0.827453,4.8953,6.85082,0.335633,6.78289,-4.36723
0.00759839,2.91526,-0.00285868,0.00925764,-0.222056,-0.0682023,-0.0322457,0.0810181,-0.000687744,0.0810222,-0.0322499,-1.56472,0.00916546,62,57,0.577579,4.84667,6.52574,0.376434,6.72481,-4.27942
0.350744,2.9167,-0.000589742,-0.00358856,-0.222991,-0.0693896,-0.0325186,0.0814032,0.000464422,0.0814051,-0.0325205,1.56672,0.00909823,69,57,0.319666,4.86568,6.20979,0.472644,6.67706,-4.19972
0.693335,2.91857,-8.23735e-05,-0.0167765,-0.22693,-0.0702712,-0.0328192,0.081812,0.00163897,0.0818354,-0.0328426,1.5565,0.00855821,76,57,0.0533339,4.9515,5.86165,0.612476,6.60179,-4.13462
1.03568,2.91994,-0.000179301,-0.0300483,-0.232706,-0.0690221,-0.0331504,0.0822443,0.00284005,0.0823141,-0.0332203,1.5462,0.00836961,83,57,-0.225901,5.07253,5.50908,0.809937,6.51129,-4.04817
-1.02205,2.58432,-0.00104465,0.0557426,-0.267501,-0.0692837,-0.0369262,0.0902753,-0.0030169,0.0903468,-0.0369977,-1.5471,0.00996315,41,64,1.54273,5.83117,7.61394,0.770084,6.87106,-4.83126
-0.679084,2.58603,-0.000573614,0.041175,-0.261683,-0.0715385,-0.0372465,0.0907017,-0.00211688,0.0907368,-0.0372815,-1.55426,0.00851215,48,64,1.25507,5.70491,7.26141,0.723381,6.82917,-4.7578
-0.336533,2.58767,-0.00136194,0.0257594,-0.257648,-0.0736217,-0.037564,0.0911207,-0.00120922,0.0911321,-0.0375754,-1.5614,0.00854047,55,64,0.949187,5.62049,6.87096,0.714163,6.76498,-4.67916
