 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-0.00242303,-0.241306,-0.0409818,-0.0006191,0.0243274,-0.00833395,0.0268553,-0.00314707,-1.27628,0.00773143,41,29,0.201177,5.21794,6.70623,1.71724,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00405792,-0.240186,-0.0395573,-8.67466e-05,0.0232999,-0.00639919,0.0249364,-0.00172322,-1.32043,0.00724886,48,29,0.158782,5.19458,6.63159,1.76947,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00490971,-0.239156,-0.0379578,0.000350776,0.022476,-0.00445667,0.02334,-0.000513188,-1.37931,0.00712928,55,29,0.131502,5.17235,6.56069,1.82146,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00528858,-0.238547,-0.0370103,0.00068603,0.0218602,-0.00250249,0.0221519,0.000394291,-1.45474,0.00706424,62,29,0.117446,5.15812,6.48968,1.89114,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00516699,-0.238569,-0.0367174,0.000912365,0.021456,-0.00053271,0.0214698,0.000898561,-1.54489,0.00711526,69,29,0.11719,5.15736,6.42673,1.9794,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00513831,-0.238978,-0.0367092,0.00102407,0.0212662,0.0014569,0.0213705,0.00091975,1.49931,0.00752198,76,29,0.116615,5.16671,6.34309,2.07619,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.0057272,-0.239323,-0.0368622,0.0010165,0.0212922,0.00347101,0.02187,0.000438762,1.40586,0.00788667,83,29,0.10426,5.17566,6.2247,2.1825,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00489788,-0.252856,-0.0502933,-0.0106622,0.0420094,-0.0073298,0.0430104,-0.0116632,-1.43507,0.00908015,41,36,0.401909,5.47426,6.77676,1.66205,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.000698333,-0.249627,-0.047379,-0.010329,0.0412952,-0.00558687,0.0418929,-0.0109267,-1.46422,0.00784426,48,36,0.298756,5.40719,6.66026,1.66744,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.00233113,-0.247424,-0.0451798,-0.0100643,0.0407351,-0.00383519,0.041023,-0.0103522,-1.49587,0.00785786,55,36,0.223542,5.36279,6.55767,1.69036,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,-0.00401915,-0.24618,-0.0439674,-0.00987433,0.0403323,-0.00207071,0.0404175,-0.00995958,-1.52965,0.00771318,62,36,0.181095,5.33466,6.47134,1.74421,6.80199,-3.3772
0.354932,3.89602,-0.00604988,-0.00474161,-0.245938,-0.0433074,-0.00976481,0.0400892,-0.000289317,0.0400909,-0.00976649,-1.56499,0.0075711,69,36,0.161436,5.32666,6.39623,1.82474,6.73895,-3.29079
