 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-0.00396342,-0.236501,-0.0257393,-0.000444829,0.0241599,-0.00817975,0.026631,-0.00291598,-1.27741,0.00712637,41,29,0.0869029,5.09041,6.75986,1.59948,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00560306,-0.235523,-0.0247575,-1.73448e-05,0.0231898,-0.00628674,0.0247834,-0.00161097,-1.32254,0.00664635,48,29,0.0471772,5.07176,6.68301,1.65427,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00647201,-0.234698,-0.0235494,0.000318145,0.0224243,-0.00438538,0.0232624,-0.000520039,-1.38194,0.00650081,55,29,0.022037,5.05635,6.60995,1.70916,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00687169,-0.234306,-0.0223249,0.000555308,0.0218676,-0.00247168,0.0221505,0.000272413,-1.45684,0.00642476,62,29,0.00648005,5.04878,6.54048,1.78053,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00696367,-0.23445,-0.0214726,0.000688592,0.0215234,-0.000541576,0.0215374,0.000674523,-1.54483,0.00646075,69,29,-0.000725641,5.05125,6.47674,1.86906,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00706562,-0.235005,-0.0209664,0.00071337,0.0213939,0.00140926,0.0214895,0.00061778,1.50307,0.00692038,76,29,-0.00624418,5.06146,6.39358,1.9697,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00781794,-0.23559,-0.0211306,0.000626068,0.0214806,0.0033856,0.0220165,9.02088e-05,1.41382,0.00750278,83,29,-0.0215249,5.07271,6.2721,2.08384,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00298581,-0.2479,-0.0345725,-0.0104556,0.042003,-0.00718584,0.0429695,-0.0114221,-1.4371,0.00871087,41,36,0.27755,5.34866,6.82567,1.53534,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,-0.00117704,-0.244909,-0.0321279,-0.0102256,0.0413408,-0.00547796,0.0419163,-0.0108012,-1.46612,0.00739592,48,36,0.178025,5.2847,6.70757,1.54896,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.00415811,-0.24297,-0.0302264,-0.0100616,0.0408337,-0.00376087,0.0411101,-0.010338,-1.49743,0.00727508,55,36,0.105774,5.24636,6.60463,1.57778,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,-0.0058237,-0.241988,-0.028342,-0.00996856,0.0404849,-0.00203036,0.0405665,-0.0100501,-1.53064,0.00705812,62,36,0.0606042,5.22396,6.52291,1.63507,6.80199,-3.3772
0.354932,3.89602,-0.00604988,-0.00667872,-0.241916,-0.0269152,-0.00995126,0.0402966,-0.000282196,0.0402982,-0.00995285,-1.56518,0.00691031,69,36,0.0345743,5.2196,6.44984,1.71699,6.73895,-3.29079
0.697311,3.89739,-0.00619977,-0.00805929,-0.243256,-0.0271287,-0.0100136,0.0402705,0.00148809,0.0403145,-0.0100576,1.54124,0.00750835,76,36,0.00665887,5.2467,6.33748,1.83866,6.65648,-3.19673
1.03984,3.89854,-0.00540446,-0.0109658,-0.245424,-0.028646,-0.0101588,0.0404073,0.00328528,0.0406198,-0.0103713,1.50619,0.00842107,83,36,-0.0455259,5.29497,6.18875,1.98253,6.57578,-3.09693
-1.01778,3.56343,-0.00670129,0.0145408,-0.265814,-0.0426357,-0.0198609,0.0590564,-0.00611064,0.0595267,-0.0203313,-1.49398,0.0100407,41,43,0.55886,5.75016,6.98623,1.60359,6.92989,-3.93282
-0.67495,3.56498,-0.00659257,0.00723719,-0.260045,-0.0399768,-0.01981,0.0586662,-0.00460411,0.0589354,-0.0200792,-1.51239,0.00824867,48,43,0.393516,5.62085,6.80582,1.56572,6.88416,-3.84558
-0.332005,3.56659,-0.00569489,0.000848536,-0.256271,-0.0376554,-0.0197998,0.0583844,-0.00308896,0.0585062,-0.0199217,-1.53137,0.00844672,55,43,0.249044,5.5413,6.64279,1.55781,6.8386,-3.76381
0.0108772,3.56798,-0.00468418,-0.00397568,-0.25429,-0.036162,-0.0198346,0.0582127,-0.00156067,0.0582439,-0.0198658,-1.55081,0.00835279,62,43,0.141142,5.49732,6.4996,1.60086,6.78568,-3.67376
0.353658,3.56936,-0.00369828,-0.00751374,-0.254023,-0.035849,-0.0199183,0.0581526,-1.4697e-05,0.0581527,-0.0199183,-1.57061,0.00815802,69,43,0.0659726,5.48998,6.36717,1.68246,6.72401,-3.58434
0.695971,3.57076,-0.00416309,-0.0123555,-0.256759,-0.0374756,-0.0200544,0.0582051,0.00155366,0.058236,-0.0200852,1.55095,0.00860192,76,43,-0.0253111,5.54847,6.17322,1.83088,6.63806,-3.4929
1.03868,3.57217,-0.00273472,-0.0190134,-0.26099,-0.0388177,-0.0202457,0.0583705,0.00314937,0.0584965,-0.0203717,1.53082,0.00916587,83,43,-0.155138,5.64235,5.95665,1.9991,6.56431,-3.40754
-1.01932,3.23705,-0.00518092,0.0291886,-0.290487,-0.0472694,-0.028394,0.0749117,-0.00497495,0.0751507,-0.0286331,-1.52279,0.0100147,41,50,0.885534,6.29107,7.23368,1.81741,6.90626,-4.22913
-0.676468,3.23864,-0.00505512,0.0185864,-0.282165,-0.0458725,-0.0285047,0.0747503,-0.00368118,0.0748814,-0.0286357,-1.53521,0.0086313,48,50,0.659218,6.10435,6.97902,1.72779,6.86068,-4.14585
-0.333636,3.24021,-0.00465196,0.00878992,-0.277006,-0.045375,-0.028632,0.074654,-0.00237991,0.0747088,-0.0286868,-1.54777,0.00927463,55,50,0.454611,5.99482,6.73085,1.69621,6.80963,-4.06295
0.00920848,3.24153,-0.00385367,-0.00046615,-0.27464,-0.0454822,-0.0287796,0.0746236,-0.00106637,0.0746346,-0.0287906,-1.56049,0.00966828,62,50,0.264509,5.94566,6.48631,1.73174,6.7543,-3.97179
0.352164,3.24288,-0.00225852,-0.00942039,-0.274786,-0.0464206,-0.0289508,0.07466,0.000264233,0.0746606,-0.0289515,1.56825,0.00992187,69,50,0.085105,5.94695,6.2436,1.82074,6.69921,-3.88456
0.694616,3.24448,-0.00223742,-0.0196118,-0.27841,-0.0476133,-0.0291487,0.0747635,0.00161682,0.0747887,-0.0291738,1.55524,0.00964369,76,50,-0.117995,6.0228,5.94921,1.9737,6.61859,-3.80491
1.03703,3.24621,-0.00199656,-0.0302384,-0.283958,-0.0474134,-0.029376,0.0749343,0.00299653,0.0750203,-0.029462,1.5421,0.00924302,83,50,-0.337232,6.14042,5.64834,2.15498,6.53198,-3.732
