 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-0.00162052,-0.233751,-0.0433343,-0.00047266,0.0243987,-0.00858518,0.0270744,-0.00314828,-1.26868,0.00772878,41,29,0.229288,5.05737,6.70936,1.56739,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00316708,-0.232778,-0.0422219,-5.42941e-05,0.0233946,-0.00664271,0.0251457,-0.00180531,-1.31306,0.00725486,48,29,0.190349,5.03778,6.63471,1.62305,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00419468,-0.231835,-0.0408137,0.000279398,0.0225915,-0.00469496,0.0235392,-0.000668274,-1.37162,0.0072277,55,29,0.1605,5.0205,6.5592,1.67417,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00469755,-0.231303,-0.0392884,0.000520665,0.0219935,-0.0027379,0.0223371,0.000177067,-1.44595,0.00720557,62,29,0.140811,5.00861,6.48892,1.74312,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00475002,-0.23134,-0.0385821,0.000662499,0.0216042,-0.000767442,0.0216323,0.000634411,-1.53422,0.00722887,69,29,0.134762,5.00725,6.42473,1.83142,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00472335,-0.231879,-0.0381341,0.000698782,0.021426,0.00122078,0.0214976,0.000627129,1.51217,0.00756201,76,29,0.131778,5.01667,6.34344,1.93243,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00545553,-0.232434,-0.0382411,0.000624406,0.0214602,0.00323154,0.0219499,0.000134717,1.42041,0.00789338,83,29,0.116242,5.02919,6.22237,2.04385,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00562751,-0.245225,-0.0532645,-0.0105583,0.0422549,-0.00752343,0.0433057,-0.0116092,-1.43202,0.00912575,41,36,0.431918,5.31695,6.77508,1.50736,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.00157228,-0.242202,-0.0506867,-0.0103286,0.0415645,-0.00576878,0.0421981,-0.0109621,-1.46141,0.00784467,48,36,0.333442,5.25149,6.65947,1.52084,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.00150445,-0.240164,-0.0485736,-0.0101583,0.0410265,-0.00400833,0.0413385,-0.0104703,-1.49312,0.00784176,55,36,0.257665,5.2098,6.55534,1.54823,6.85982,-3.46084
