 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-0.00114274,-0.241691,-0.0356213,-0.000342208,0.0232686,-0.00811399,0.0257882,-0.00286176,-1.26972,0.00747564,41,29,0.198426,5.21638,6.76202,1.72052,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00272174,-0.240656,-0.0343587,0.000117583,0.0223449,-0.00623422,0.023974,-0.00151156,-1.31519,0.00697839,48,29,0.158209,5.19681,6.68774,1.77302,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00355669,-0.239714,-0.0330232,0.000483131,0.0216259,-0.00434559,0.0224842,-0.0003752,-1.37579,0.00682004,55,29,0.132845,5.17828,6.61582,1.82572,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00392749,-0.239264,-0.0318856,0.000747453,0.0211158,-0.00244369,0.0214049,0.000458374,-1.45305,0.0067812,62,29,0.118079,5.16667,6.5461,1.89894,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00380425,-0.239424,-0.031345,0.000904357,0.0208182,-0.000524024,0.020832,0.000890577,-1.54451,0.00686859,69,29,0.116693,5.16879,6.48466,1.98941,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00381118,-0.240017,-0.031926,0.000948585,0.0207356,0.00141816,0.0208368,0.000847462,1.49961,0.00731202,76,29,0.118619,5.18047,6.39696,2.09323,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00443066,-0.240517,-0.0325469,0.000875938,0.0208693,0.00338801,0.0214278,0.00031742,1.40741,0.00773729,83,29,0.108197,5.1908,6.27528,2.206,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00584961,-0.252887,-0.0452442,-0.0103339,0.0409658,-0.0071308,0.0419386,-0.0113067,-1.43522,0.00896187,41,36,0.394118,5.46767,6.8242,1.65644,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.00175596,-0.249761,-0.0426055,-0.0100693,0.0403529,-0.00543527,0.0409322,-0.0106486,-1.46463,0.00768296,48,36,0.294738,5.40282,6.70838,1.66474,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.00115213,-0.247677,-0.0404696,-0.0098726,0.0398947,-0.00373001,0.0401727,-0.0101506,-1.4964,0.00762772,55,36,0.222477,5.36135,6.60798,1.68997,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,-0.00278032,-0.246612,-0.0388301,-0.00974962,0.039594,-0.00201046,0.0396758,-0.0098314,-1.53014,0.00745804,62,36,0.179116,5.3362,6.52533,1.74719,6.80199,-3.3772
0.354932,3.89602,-0.00604988,-0.00349739,-0.246587,-0.0378424,-0.00970565,0.0394533,-0.000272014,0.0394548,-0.00970715,-1.56526,0.00734661,69,36,0.157976,5.33174,6.45223,1.83244,6.73895,-3.29079
0.697311,3.89739,-0.00619977,-0.0047763,-0.248015,-0.0386809,-0.00974525,0.039474,0.00149012,0.0395191,-0.00979032,1.54056,0.00786743,76,36,0.135185,5.3607,6.33807,1.95763,6.65648,-3.19673
1.03984,3.89854,-0.00540446,-0.00757366,-0.250105,-0.0404164,-0.0098722,0.0396569,0.00328106,0.0398733,-0.0100886,1.50493,0.00860122,83,36,0.0861133,5.40793,6.19002,2.09989,6.57578,-3.09693
-1.01778,3.56343,-0.00670129,0.0174336,-0.270435,-0.0535558,-0.019728,0.0579155,-0.00606032,0.0583857,-0.0201982,-1.49337,0.0101222,41,43,0.677284,5.86105,6.98394,1.71758,6.92989,-3.93282
-0.67495,3.56498,-0.00659257,0.0101663,-0.264593,-0.0509132,-0.0196383,0.0575768,-0.00456486,0.0578457,-0.0199073,-1.51195,0.00843683,48,43,0.512544,5.7321,6.80396,1.67631,6.88416,-3.84558
-0.332005,3.56659,-0.00569489,0.00379844,-0.260722,-0.0487781,-0.0195912,0.057345,-0.0030601,0.0574665,-0.0197127,-1.53111,0.00875301,55,43,0.369248,5.65154,6.64005,1.66579,6.8386,-3.76381
0.0108772,3.56798,-0.00468418,-0.000960998,-0.258649,-0.0476543,-0.0195915,0.057222,-0.00154122,0.0572529,-0.0196224,-1.55074,0.00872041,62,43,0.264376,5.6061,6.4958,1.70749,6.78568,-3.67376
0.353658,3.56936,-0.00369828,-0.00435654,-0.258412,-0.0475825,-0.0196439,0.0572091,-3.41134e-06,0.0572091,-0.0196439,-1.57075,0.00850956,69,43,0.193131,5.59895,6.36458,1.79079,6.72401,-3.58434
0.695971,3.57076,-0.00416309,-0.00909048,-0.261299,-0.0492553,-0.0197524,0.0573073,0.00155829,0.0573388,-0.0197839,1.55059,0.00876414,76,43,0.104033,5.65965,6.17222,1.94347,6.63806,-3.4929
1.03868,3.57217,-0.00273472,-0.0156985,-0.265535,-0.0506237,-0.0199206,0.0575169,0.00314912,0.0576447,-0.0200484,1.53022,0.00924879,83,43,-0.0249239,5.7517,5.95615,2.11376,6.56431,-3.40754
-1.01932,3.23705,-0.00518092,0.0320414,-0.294518,-0.0586287,-0.0282549,0.0736973,-0.00493129,0.0739353,-0.0284928,-1.52258,0.00999432,41,50,1.00541,6.38968,7.22812,1.91948,6.90626,-4.22913
-0.676468,3.23864,-0.00505512,0.021438,-0.286326,-0.0571571,-0.0283219,0.0735883,-0.00364626,0.0737186,-0.0284522,-1.53508,0.0086419,48,50,0.778466,6.20778,6.97363,1.83024,6.86068,-4.14585
-0.333636,3.24021,-0.00465196,0.0116627,-0.281158,-0.0569256,-0.0284071,0.0735424,-0.00235266,0.0735967,-0.0284613,-1.54774,0.00937479,55,50,0.575468,6.09887,6.72414,1.79835,6.80963,-4.06295
