 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,7.19192e-05,-3.31736e-05,0.000120686,-0.000118114,-0.000153905,6.06844e-05,-7.27416e-05,-0.000199278,0.642015,0.00238431,41,29,0.000820398,0.000448538,6.98657,-3.31624,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-3.97911e-06,2.38865e-06,-0.00026119,-8.31543e-05,-0.000176232,2.46351e-05,-7.70363e-05,-0.00018235,0.243423,0.00222818,48,29,0.00129348,-0.00167003,6.9344,-3.23226,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-5.74309e-05,-3.64146e-05,-0.000529841,-5.89665e-05,-0.000200708,-1.32004e-05,-5.77476e-05,-0.000201927,-0.0920751,0.00230469,55,29,0.00163577,-0.000479291,6.87016,-3.15162,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-4.33899e-05,-4.00516e-05,-0.000696118,-4.52212e-05,-0.000226963,-5.25302e-05,-3.11305e-05,-0.000241054,-0.262071,0.00239605,62,29,0.00279924,0.000140115,6.80181,-3.06618,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-4.91819e-05,-8.77824e-05,-0.000625376,-4.15176e-05,-0.000254631,-9.30249e-05,-6.6248e-06,-0.000289524,-0.35885,0.00248735,69,29,0.00228986,0.000709148,6.736,-2.97608,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.000102172,-0.000182444,-0.000407966,-4.73803e-05,-0.000283359,-0.000134332,1.34226e-05,-0.000344162,-0.425039,0.00253702,76,29,2.89284e-05,0.000527938,6.65277,-2.88202,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.000137864,-0.000207312,-0.00022717,-6.2255e-05,-0.000312812,-0.000176092,2.85752e-05,-0.000403642,-0.476217,0.00253751,83,29,-0.00166503,0.00030842,6.54834,-2.77906,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,-1.88605e-05,5.16283e-07,-8.73012e-05,-7.12427e-05,-8.89319e-05,3.00253e-05,-4.87864e-05,-0.000111388,0.642164,0.00259447,41,36,9.54616e-05,0.000828781,6.95785,-3.62708,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,-0.000138729,-1.35704e-05,-0.000159449,-4.64752e-05,-0.000105311,4.26831e-06,-4.61671e-05,-0.00010562,0.0720427,0.0021912,48,36,-0.00199747,-0.00110218,6.90853,-3.53888,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.000143567,2.0098e-06,-0.000347791,-3.09166e-05,-0.000123835,-2.27603e-05,-2.5641e-05,-0.000129111,-0.227766,0.00226116,55,36,-0.00110858,-0.00209138,6.85488,-3.45792,6.85982,-3.46084
