 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-0.0017637,-0.231712,-0.0311308,-0.000651045,0.0245866,-0.00834504,0.0270964,-0.00316081,-1.27865,0.00723384,41,29,0.160303,4.99591,6.77446,1.50892,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00345641,-0.230721,-0.0304356,-0.000167021,0.0236289,-0.00641832,0.0252497,-0.0017878,-1.32344,0.00674022,48,29,0.120929,4.97802,6.69481,1.56321,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00443688,-0.229845,-0.029185,0.000224022,0.0228724,-0.00448385,0.0237277,-0.000631372,-1.38229,0.00663986,55,29,0.0931604,4.9615,6.61958,1.61693,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00486915,-0.229354,-0.027507,0.000515222,0.0223208,-0.0025377,0.0226123,0.000223784,-1.45645,0.0065754,62,29,0.0743986,4.95138,6.55187,1.68543,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.004933,-0.229397,-0.0266217,0.000700547,0.0219775,-0.00057582,0.0219931,0.000684975,-1.54376,0.00659646,69,29,0.067473,4.95151,6.48875,1.77198,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00509474,-0.229941,-0.026924,0.000774943,0.0218446,0.0014061,0.021938,0.00068152,1.50445,0.00698565,76,29,0.0648743,4.96154,6.39963,1.87463,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00575128,-0.230435,-0.027379,0.000734456,0.0219232,0.0034128,0.0224594,0.000198334,1.41498,0.00753311,83,29,0.0529573,4.97226,6.2783,1.98632,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00525909,-0.243147,-0.0407592,-0.0106997,0.0424684,-0.00732678,0.0434596,-0.0116909,-1.43633,0.00884004,41,36,0.356729,5.25508,6.83731,1.44733,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.00100279,-0.240195,-0.0382523,-0.010414,0.0418127,-0.00558551,0.0424034,-0.0110047,-1.46544,0.00749918,48,36,0.254818,5.19039,6.71746,1.46316,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.00207031,-0.238278,-0.0362305,-0.0101947,0.04131,-0.00383536,0.041594,-0.0104787,-1.49687,0.00734017,55,36,0.179917,5.15207,6.61317,1.49254,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,-0.00371779,-0.237246,-0.0340584,-0.0100476,0.0409629,-0.00207224,0.0410469,-0.0101316,-1.53026,0.00705577,62,36,0.133469,5.12919,6.53331,1.54746,6.80199,-3.3772
0.354932,3.89602,-0.00604988,-0.00451246,-0.237122,-0.0325049,-0.00997791,0.0407736,-0.00029205,0.0407752,-0.00997959,-1.56504,0.00693507,69,36,0.107888,5.12443,6.46205,1.62729,6.73895,-3.29079
0.697311,3.89739,-0.00619977,-0.00590757,-0.23835,-0.033185,-0.00999015,0.0407434,0.00150953,0.0407882,-0.010035,1.54108,0.00753625,76,36,0.0820104,5.14997,6.34661,1.74706,6.65648,-3.19673
1.03984,3.89854,-0.00540446,-0.0087514,-0.240336,-0.0349917,-0.0100879,0.0408729,0.00333719,0.0410905,-0.0103055,1.50568,0.0084312,83,36,0.0324781,5.1946,6.19735,1.88784,6.57578,-3.09693
-1.01778,3.56343,-0.00670129,0.0168517,-0.261187,-0.0491864,-0.0201348,0.0595545,-0.00622663,0.0600381,-0.0206184,-1.49329,0.0101785,41,43,0.640812,5.66233,6.99667,1.51589,6.92989,-3.93282
-0.67495,3.56498,-0.00659257,0.00947734,-0.255452,-0.0463875,-0.0200293,0.0591671,-0.00468941,0.0594438,-0.020306,-1.51186,0.00835784,48,43,0.473098,5.53022,6.81536,1.48185,6.88416,-3.84558
-0.332005,3.56659,-0.00569489,0.00301547,-0.251711,-0.0439222,-0.0199644,0.0588864,-0.00314348,0.0590115,-0.0200895,-1.53101,0.00854682,55,43,0.326222,5.45025,6.65146,1.47533,6.8386,-3.76381
0.0108772,3.56798,-0.00468418,-0.00175824,-0.24971,-0.0421739,-0.0199454,0.0587142,-0.00158455,0.0587461,-0.0199773,-1.55066,0.00839638,62,43,0.217872,5.40607,6.51059,1.51713,6.78568,-3.67376
0.353658,3.56936,-0.00369828,-0.00522887,-0.249381,-0.0417033,-0.0199767,0.0586518,-8.3123e-06,0.0586518,-0.0199767,-1.57069,0.00823282,69,43,0.143135,5.39871,6.3803,1.59571,6.72401,-3.58434
0.695971,3.57076,-0.00416309,-0.0101164,-0.25204,-0.0435415,-0.0200624,0.0587,0.00158974,0.058732,-0.0200945,1.55062,0.00861158,76,43,0.0519159,5.45686,6.18411,1.74181,6.63806,-3.4929
1.03868,3.57217,-0.00273472,-0.0168458,-0.256143,-0.045235,-0.020206,0.0588588,0.00321437,0.0589893,-0.0203365,1.53023,0.00910972,83,43,-0.077683,5.5474,5.96391,1.90894,6.56431,-3.40754
-1.01932,3.23705,-0.00518092,0.0316486,-0.286083,-0.0542198,-0.0286841,0.0754368,-0.00507288,0.0756834,-0.0289307,-1.52223,0.0101304,41,50,0.972728,6.21032,7.24497,1.73279,6.90626,-4.22913
-0.676468,3.23864,-0.00505512,0.020958,-0.277811,-0.0524809,-0.028744,0.0752759,-0.00375104,0.075411,-0.0288791,-1.5348,0.00871222,48,50,0.7426,6.02134,6.99018,1.64656,6.86068,-4.14585
-0.333636,3.24021,-0.00465196,0.0110479,-0.272629,-0.0517824,-0.0288197,0.075179,-0.0024213,0.0752354,-0.0288761,-1.54753,0.00939864,55,50,0.534437,5.90936,6.74062,1.61592,6.80963,-4.06295
0.00920848,3.24153,-0.00385367,0.00177341,-0.270164,-0.051632,-0.0289157,0.0751472,-0.00107917,0.0751584,-0.0289269,-1.56043,0.00977847,62,50,0.342465,5.85909,6.49704,1.64775,6.7543,-3.97179
0.352164,3.24288,-0.00225852,-0.00715072,-0.270265,-0.0524921,-0.0290359,0.0751808,0.00027986,0.0751816,-0.0290367,1.56811,0.00996708,69,50,0.163135,5.85974,6.25524,1.73535,6.69921,-3.88456
0.694616,3.24448,-0.00223742,-0.0173779,-0.273794,-0.0537705,-0.0291843,0.0752803,0.00166046,0.0753067,-0.0292107,1.55491,0.00955779,76,50,-0.0403423,5.93648,5.95956,1.88364,6.61859,-3.80491
