 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-6.34428e-05,-9.96459e-05,0.000493826,1.92094e-05,-0.000176333,-7.22705e-05,4.30205e-05,-0.000200144,-0.31827,0.00236688,41,29,-0.00394858,0.00128959,6.98591,-3.31541,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-2.91269e-05,-0.000118982,0.000318239,-4.61134e-06,-0.000192798,-5.80714e-05,1.18658e-05,-0.000209276,-0.276473,0.00225539,48,29,-0.00233055,-0.000896692,6.9371,-3.22958,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-1.12772e-05,-0.000171399,0.000180858,-3.08127e-05,-0.000207904,-4.59554e-05,-1.95974e-05,-0.00021912,-0.239366,0.00236984,55,29,-0.00123442,-0.000768541,6.87502,-3.14764,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,2.01725e-05,-0.000183662,8.94599e-05,-5.88861e-05,-0.000221536,-3.59192e-05,-5.1307e-05,-0.000229115,-0.207955,0.00241901,62,29,-0.000100615,-0.000421634,6.80745,-3.06177,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-1.41071e-05,-0.000178023,-3.08392e-05,-8.82998e-05,-0.00023359,-2.79473e-05,-8.31094e-05,-0.000238781,-0.183628,0.00247027,69,29,-0.0001535,0.000290983,6.74003,-2.97354,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-5.21472e-05,-0.000175581,-0.000176944,-0.000118495,-0.000243985,-2.20118e-05,-0.000114746,-0.000247734,-0.1687,0.00252765,76,29,-0.000171,-0.000189883,6.65509,-2.88223,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.000112496,-0.000157981,-0.000105496,-0.000148883,-0.000252662,-1.80717e-05,-0.000145826,-0.000255719,-0.167567,0.00260935,83,29,-0.00179227,-0.00102166,6.54955,-2.78013,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,2.30362e-05,-7.38286e-05,0.000279754,2.66071e-05,-0.00013351,-5.71759e-05,4.49277e-05,-0.000151831,-0.310088,0.00249891,41,36,-0.00101195,0.00247524,6.96076,-3.62661,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,-3.39737e-05,-0.000140949,0.000351317,-3.29292e-08,-0.000146846,-4.77843e-05,1.41497e-05,-0.000161028,-0.288524,0.0021502,48,36,-0.00259625,0.000100029,6.91348,-3.5361,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-3.01387e-05,-0.000154061,0.000210368,-2.84112e-05,-0.000158973,-3.97363e-05,-1.72685e-05,-0.000170116,-0.273394,0.002248,55,36,-0.00178355,-0.0015133,6.86026,-3.45344,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,1.38979e-06,-0.000137887,4.62023e-05,-5.80094e-05,-0.000169879,-3.30482e-05,-4.89759e-05,-0.000178912,-0.266827,0.00222921,62,36,-0.000272592,-0.00232232,6.80213,-3.36919,6.80199,-3.3772
