 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,-0.0031581,-0.241737,-0.0168113,-0.00056698,0.023906,-0.00809134,0.0263392,-0.00300024,-1.27868,0.00674446,41,29,0.0558644,5.19172,6.82601,1.69348,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,-0.00488343,-0.240652,-0.0160872,-8.22275e-05,0.0229712,-0.00617805,0.0245225,-0.00163349,-1.32479,0.00628223,48,29,0.0159371,5.16879,6.74607,1.74873,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00567489,-0.239812,-0.0144681,0.000298779,0.0222405,-0.0042565,0.0230373,-0.000498006,-1.38575,0.00608528,55,29,-0.00962716,5.15158,6.67701,1.8036,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00599325,-0.239364,-0.0133022,0.00057012,0.0217182,-0.00232253,0.0219702,0.00031806,-1.46269,0.00599291,62,29,-0.0230303,5.14092,6.60896,1.87593,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00595557,-0.239469,-0.0125197,0.000726747,0.0214074,-0.000371902,0.0214141,0.00072006,-1.55282,0.00598073,69,29,-0.0270241,5.14144,6.54757,1.96498,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.00613312,-0.239969,-0.0126903,0.000764635,0.0213107,0.00159988,0.0214345,0.000640801,1.49355,0.00637088,76,29,-0.030314,5.1513,6.45919,2.0655,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00691204,-0.240454,-0.0127887,0.000680904,0.021429,0.00359774,0.0220351,7.4761e-05,1.40388,0.00696131,83,29,-0.0462652,5.16274,6.33775,2.17502,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00374859,-0.25309,-0.0249229,-0.0105349,0.0416703,-0.00712146,0.0426243,-0.0114889,-1.43762,0.00828965,41,36,0.241744,5.44786,6.89496,1.62786,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,-0.000534561,-0.250001,-0.0225847,-0.0102508,0.0410324,-0.00539137,0.041593,-0.0108114,-1.46718,0.00705402,48,36,0.140535,5.38107,6.77397,1.64042,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,-0.00345389,-0.248002,-0.020457,-0.0100431,0.0405498,-0.00365198,0.040812,-0.0103054,-1.49911,0.00692058,55,36,0.0685373,5.34001,6.67369,1.66881,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,-0.00498644,-0.246985,-0.0186573,-0.00991678,0.0402254,-0.00189897,0.0402972,-0.0099886,-1.533,0.00664526,62,36,0.0267271,5.31449,6.59429,1.72806,6.80199,-3.3772
0.354932,3.89602,-0.00604988,-0.00573743,-0.246952,-0.0172751,-0.00987595,0.0400615,-0.000127946,0.0400619,-0.00987627,-1.56823,0.00645086,69,36,0.00325112,5.30799,6.52315,1.81389,6.73895,-3.29079
0.697311,3.89739,-0.00619977,-0.00717893,-0.248296,-0.0176891,-0.00992404,0.0400596,0.00166565,0.0401151,-0.00997948,1.53752,0.0070925,76,36,-0.0246293,5.33508,6.40857,1.93623,6.65648,-3.19673
1.03984,3.89854,-0.00540446,-0.0100601,-0.25036,-0.0189511,-0.0100636,0.0402203,0.00348673,0.0404609,-0.0103042,1.50189,0.00809053,83,36,-0.077383,5.38393,6.26207,2.07445,6.57578,-3.09693
-1.01778,3.56343,-0.00670129,0.0153019,-0.270756,-0.0321889,-0.0199073,0.0586631,-0.00605498,0.059127,-0.0203712,-1.49433,0.00982605,41,43,0.51868,5.84185,7.05988,1.69152,6.92989,-3.93282
-0.67495,3.56498,-0.00659257,0.00783156,-0.265063,-0.0294828,-0.0198048,0.0582897,-0.00452753,0.0585513,-0.0200664,-1.51308,0.0080702,48,43,0.349945,5.71532,6.87658,1.6538,6.88416,-3.84558
-0.332005,3.56659,-0.00569489,0.00144432,-0.261255,-0.0271492,-0.0197526,0.058025,-0.00299119,0.0581399,-0.0198674,-1.53241,0.00823058,55,43,0.20566,5.6338,6.7138,1.64636,6.8386,-3.76381
0.0108772,3.56798,-0.00468418,-0.00316104,-0.259229,-0.0256189,-0.0197545,0.0578709,-0.00144134,0.0578976,-0.0197813,-1.55224,0.00803785,62,43,0.102226,5.5854,6.57534,1.69195,6.78568,-3.67376
0.353658,3.56936,-0.00369828,-0.00652956,-0.258965,-0.0252196,-0.0198141,0.0578288,0.000126673,0.057829,-0.0198143,1.56916,0.00783589,69,43,0.0302747,5.57531,6.44693,1.77623,6.72401,-3.58434
0.695971,3.57076,-0.00416309,-0.0114102,-0.261751,-0.0269415,-0.0199345,0.0578995,0.00171764,0.0579374,-0.0199723,1.54874,0.00837852,76,43,-0.0610577,5.63409,6.25181,1.92672,6.63806,-3.4929
1.03868,3.57217,-0.00273472,-0.0181131,-0.265841,-0.0284713,-0.0201178,0.0580834,0.00333664,0.0582255,-0.0202599,1.52823,0.00901785,83,43,-0.190564,5.72712,6.0335,2.09029,6.56431,-3.40754
-1.01932,3.23705,-0.00518092,0.0298792,-0.295176,-0.0363487,-0.0284183,0.0744704,-0.00491982,0.0747051,-0.028653,-1.52312,0.00981893,41,50,0.841343,6.37716,7.30854,1.89952,6.90626,-4.22913
-0.676468,3.23864,-0.00505512,0.019217,-0.287042,-0.0348994,-0.0284787,0.074322,-0.00360737,0.0744484,-0.0286052,-1.53576,0.00847677,48,50,0.613808,6.19544,7.05319,1.81255,6.86068,-4.14585
-0.333636,3.24021,-0.00465196,0.00940221,-0.281876,-0.0344617,-0.0285647,0.0742391,-0.00228717,0.07429,-0.0286156,-1.54856,0.00912098,55,50,0.409379,6.08446,6.80447,1.78225,6.80963,-4.06295
0.00920848,3.24153,-0.00385367,0.000253086,-0.279418,-0.034683,-0.0286794,0.0742228,-0.000954333,0.0742317,-0.0286882,-1.56152,0.00946239,62,50,0.222273,6.03078,6.56157,1.81879,6.7543,-3.97179
0.352164,3.24288,-0.00225852,-0.00864066,-0.279608,-0.0355992,-0.0288257,0.0742738,0.000396041,0.0742753,-0.0288272,1.56696,0.00971161,69,50,0.0442195,6.03132,6.32035,1.91036,6.69921,-3.88456
0.694616,3.24448,-0.00223742,-0.0188053,-0.283195,-0.0369417,-0.0290062,0.0743925,0.00176897,0.0744227,-0.0290365,1.55369,0.00944929,76,50,-0.157311,6.10562,6.02581,2.06369,6.61859,-3.80491
1.03703,3.24621,-0.00199656,-0.0293679,-0.288616,-0.0368694,-0.0292233,0.0745789,0.0031697,0.0746756,-0.02932,1.5403,0.00911909,83,50,-0.374313,6.2226,5.72575,2.24064,6.53198,-3.732
-1.02065,2.91062,-0.00293941,0.0442388,-0.325548,-0.0393119,-0.0359182,0.0888669,-0.00378979,0.0889819,-0.0360332,-1.54046,0.00970842,41,57,1.15365,7.03297,7.56706,2.23118,6.89052,-4.52705
-0.677847,2.91233,-0.00305171,0.0304547,-0.316774,-0.0402189,-0.0361263,0.0888972,-0.00269448,0.0889553,-0.0361844,-1.54926,0.00872569,48,57,0.874955,6.8413,7.23232,2.1259,6.84232,-4.44998
-0.335197,2.91389,-0.00340866,0.0169631,-0.311036,-0.0413155,-0.0363364,0.0889539,-0.00159259,0.0889741,-0.0363566,-1.55809,0.00943545,55,57,0.603478,6.71889,6.89182,2.08517,6.78289,-4.36723
0.00759839,2.91526,-0.00285868,0.00278391,-0.307773,-0.0431575,-0.036551,0.0890374,-0.000479118,0.0890392,-0.0365528,-1.56698,0.00992449,62,57,0.321955,6.64541,6.53489,2.10635,6.72481,-4.27942
0.350744,2.9167,-0.000589742,-0.0117219,-0.308426,-0.0439613,-0.0367727,0.0891478,0.000650966,0.0891512,-0.0367761,1.56563,0.00963593,69,57,0.0284606,6.65336,6.18794,2.19961,6.67706,-4.19972
