 "X",  "Y",  "Z",  "U",  "V",  "W",  "exx",  "eyy",  "exy",  "e1",  "e2",  "gamma",  "sigma",  "x",  "y",  "u",  "v",  "q",  "r",  "q_ref",  "r_ref"
-1.01446,4.21546,-0.00905034,0.00229948,-0.218611,-0.0384481,-0.000867959,0.0265086,-0.00897579,0.029189,-0.00354836,-1.2806,0.00787959,41,29,0.281238,4.73579,6.81643,1.24104,6.98444,-3.31687
-0.671736,4.21725,-0.00920977,0.000504211,-0.217872,-0.0374657,-0.000389132,0.0255834,-0.00692327,0.0273136,-0.00211934,-1.3259,0.00742291,48,29,0.238152,4.7251,6.73616,1.29795,6.936,-3.23457
-0.329216,4.21912,-0.00980428,-0.00060867,-0.217125,-0.0357213,-7.73283e-06,0.0248571,-0.00486565,0.0257753,-0.000925955,-1.38427,0.00737982,55,29,0.204934,4.71126,6.66085,1.35299,6.87435,-3.15511
0.0132747,4.2208,-0.0101696,-0.00120159,-0.216598,-0.0343687,0.00026835,0.0243335,-0.00279929,0.0246548,-5.29783e-05,-1.45651,0.00729888,62,29,0.184458,4.69795,6.58778,1.42411,6.80666,-3.06968
0.355915,4.22232,-0.00960574,-0.00124559,-0.216501,-0.0337818,0.000432033,0.0240153,-0.000720445,0.0240373,0.000410045,-1.54029,0.00735005,69,29,0.179327,4.6921,6.52309,1.51167,6.74059,-2.98082
0.698255,4.22383,-0.00984672,-0.0014064,-0.217037,-0.0340684,0.000477184,0.0239047,0.00137489,0.0239851,0.000396771,1.51238,0.0077715,76,29,0.176497,4.69964,6.43381,1.6165,6.65727,-2.89029
1.0402,4.22511,-0.0112685,-0.00208403,-0.217547,-0.0340415,0.000398739,0.0240026,0.00349117,0.0245081,-0.000106802,1.42699,0.00820953,83,29,0.16149,4.71036,6.31462,1.7276,6.55255,-2.78807
-1.01609,3.8895,-0.0077378,0.00941898,-0.230857,-0.0489758,-0.0110472,0.0443414,-0.00788804,0.0454429,-0.0121487,-1.43206,0.00912463,41,36,0.48448,5.00572,6.87601,1.20505,6.9587,-3.62647
-0.6733,3.89115,-0.00770129,0.00513399,-0.228176,-0.0464931,-0.0107621,0.0437236,-0.0060292,0.0443828,-0.0114213,-1.4619,0.00778981,48,36,0.382034,4.95015,6.75531,1.22322,6.91228,-3.54094
-0.33054,3.89289,-0.00744503,0.0019777,-0.226337,-0.0440135,-0.0105491,0.0432572,-0.00416465,0.0435777,-0.0108695,-1.49401,0.00769725,55,36,0.302872,4.91527,6.65175,1.25116,6.85982,-3.46084
0.0122033,3.89451,-0.00689878,0.000184774,-0.225302,-0.0419856,-0.0104148,0.0429449,-0.0022906,0.0430431,-0.010513,-1.52797,0.00751291,62,36,0.254036,4.88995,6.56785,1.30882,6.80199,-3.3772
0.354932,3.89602,-0.00604988,-0.000687871,-0.225082,-0.040848,-0.0103655,0.0427885,-0.000403201,0.0427915,-0.0103686,-1.56321,0.00753965,69,36,0.228864,4.88092,6.49236,1.39005,6.73895,-3.29079
0.697311,3.89739,-0.00619977,-0.00211393,-0.226145,-0.0414343,-0.0104066,0.042789,0.00150158,0.0428314,-0.0104489,1.5426,0.00817341,76,36,0.201669,4.90228,6.3766,1.5069,6.65648,-3.19673
1.03984,3.89854,-0.00540446,-0.00507805,-0.228079,-0.0427165,-0.0105427,0.042947,0.00342814,0.0431658,-0.0107615,1.50705,0.00886743,83,36,0.146755,4.94489,6.22767,1.64604,6.57578,-3.09693
-1.01778,3.56343,-0.00670129,0.0211945,-0.249395,-0.0581998,-0.0205918,0.0614286,-0.00672424,0.0619762,-0.0211395,-1.48954,0.0102257,41,43,0.776548,5.41698,7.03443,1.29239,6.92989,-3.93282
-0.67495,3.56498,-0.00659257,0.0137746,-0.243952,-0.0558523,-0.0204779,0.0610815,-0.00507755,0.0613964,-0.0207928,-1.50886,0.00844911,48,43,0.61023,5.29502,6.84951,1.26174,6.88416,-3.84558
-0.332005,3.56659,-0.00569489,0.00722599,-0.240283,-0.0533791,-0.0204116,0.0608405,-0.00342577,0.0609847,-0.0205558,-1.52873,0.00865767,55,43,0.461395,5.21878,6.68372,1.25449,6.8386,-3.76381
0.0108772,3.56798,-0.00468418,0.00230944,-0.238319,-0.0514695,-0.0203988,0.0607071,-0.00176483,0.0607455,-0.0204372,-1.54905,0.00859369,62,43,0.349092,5.17545,6.54062,1.29656,6.78568,-3.67376
0.353658,3.56936,-0.00369828,-0.00126213,-0.237989,-0.0511017,-0.0204451,0.0606822,-9.0667e-05,0.0606823,-0.0204452,-1.56968,0.00864588,69,43,0.272638,5.16716,6.40743,1.37631,6.72401,-3.58434
0.695971,3.57076,-0.00416309,-0.00625863,-0.240459,-0.0527451,-0.0205553,0.0607665,0.00160096,0.060798,-0.0205868,1.55112,0.00904486,76,43,0.177993,5.22383,6.20998,1.51547,6.63806,-3.4929
1.03868,3.57217,-0.00273472,-0.0132367,-0.244407,-0.0541595,-0.0207338,0.0609599,0.00331459,0.0610941,-0.020868,1.53031,0.00942516,83,43,0.041646,5.3105,5.98613,1.67913,6.56431,-3.40754
-1.01932,3.23705,-0.00518092,0.0363729,-0.27469,-0.0646025,-0.0292341,0.0773236,-0.00552123,0.077609,-0.0295194,-1.51917,0.0102343,41,50,1.12367,5.97513,7.28283,1.51928,6.90626,-4.22913
-0.676468,3.23864,-0.00505512,0.0255093,-0.266713,-0.0632871,-0.0292731,0.0772052,-0.00409725,0.0773626,-0.0294305,-1.53239,0.00878598,48,50,0.892087,5.79077,7.02183,1.44198,6.86068,-4.14585
-0.333636,3.24021,-0.00465196,0.0153588,-0.261665,-0.0625669,-0.0293361,0.0771504,-0.00266925,0.0772173,-0.029403,-1.54575,0.00939361,55,50,0.678713,5.68257,6.76727,1.41309,6.80963,-4.06295
0.00920848,3.24153,-0.00385367,0.00587025,-0.259372,-0.0621253,-0.0294283,0.07716,-0.00123298,0.0771743,-0.0294426,-1.55923,0.00973031,62,50,0.48064,5.63683,6.52075,1.44679,6.7543,-3.97179
0.352164,3.24288,-0.00225852,-0.00315214,-0.259483,-0.062672,-0.0295546,0.0772344,0.000215846,0.0772348,-0.029555,1.56878,0.0101019,69,50,0.297483,5.64085,6.27857,1.53057,6.69921,-3.88456
0.694616,3.24448,-0.00223742,-0.0135676,-0.262813,-0.0639125,-0.0297195,0.0773737,0.00168164,0.0774001,-0.0297459,1.5551,0.00980584,76,50,0.0897594,5.7154,5.97911,1.67255,6.61859,-3.80491
1.03703,3.24621,-0.00199656,-0.0246346,-0.26812,-0.0640332,-0.0299274,0.0775776,0.00316905,0.077671,-0.0300208,1.54135,0.00924725,83,50,-0.137157,5.8277,5.66713,1.84977,6.53198,-3.732
-1.02065,2.91062,-0.00293941,0.0513596,-0.305959,-0.0698041,-0.0368454,0.0917813,-0.00434735,0.091928,-0.0369921,-1.53705,0.0103655,41,57,1.46096,6.65483,7.54165,1.8695,6.89052,-4.52705
-0.677847,2.91233,-0.00305171,0.0370774,-0.297399,-0.0701629,-0.0370185,0.0918448,-0.0031451,0.0919215,-0.0370952,-1.54641,0.00908156,48,57,1.16844,6.45981,7.19899,1.77502,6.84232,-4.44998
-0.335197,2.91389,-0.00340866,0.0231867,-0.291751,-0.0707231,-0.037193,0.0919332,-0.00194014,0.0919624,-0.0372222,-1.55578,0.00961511,55,57,0.885348,6.34032,6.8528,1.73373,6.78289,-4.36723
0.00759839,2.91526,-0.00285868,0.00857081,-0.288696,-0.0717361,-0.0373735,0.0920467,-0.000728138,0.0920508,-0.0373775,-1.56517,0.0100378,62,57,0.589977,6.27613,6.49121,1.75207,6.72481,-4.27942
0.350744,2.9167,-0.000589742,-0.00614835,-0.289285,-0.0721433,-0.0375644,0.0921852,0.000495291,0.0921871,-0.0375663,1.56698,0.0098038,69,57,0.2895,6.28862,6.14174,1.83704,6.67706,-4.19972
0.693335,2.91857,-8.23735e-05,-0.0209755,-0.293432,-0.0726857,-0.0377701,0.0923487,0.00173464,0.0923718,-0.0377932,1.55747,0.00910045,76,57,-0.0122703,6.37626,5.76228,1.98183,6.60179,-4.13462
1.03568,2.91994,-0.000179301,-0.0357612,-0.29995,-0.0719379,-0.0379949,0.0925368,0.0029946,0.0926054,-0.0380636,1.54787,0.00872737,83,57,-0.319905,6.51221,5.37622,2.19579,6.51129,-4.04817
-1.02205,2.58432,-0.00104465,0.062598,-0.342719,-0.0745708,-0.0434113,0.104684,-0.00326171,0.104756,-0.0434831,-1.54879,0.0099564,41,64,1.71981,7.44236,7.72274,2.33231,6.87106,-4.83126
-0.679084,2.58603,-0.000573614,0.0459469,-0.335293,-0.0763267,-0.0436963,0.104875,-0.00227094,0.10491,-0.043731,-1.55552,0.00874694,48,64,1.38662,7.28294,7.33053,2.24865,6.82917,-4.7578
-0.336533,2.58767,-0.00136194,0.0282177,-0.329955,-0.0777046,-0.0439622,0.105057,-0.00127877,0.105068,-0.0439732,-1.56222,0.00886904,55,64,1.02945,7.17167,6.89701,2.20834,6.76498,-4.67916
0.00617995,2.58918,-0.00118661,0.00943963,-0.327252,-0.079489,-0.0442132,0.10523,-0.00028089,0.105231,-0.0442137,-1.56892,0.00869315,62,64,0.653051,7.115,6.44253,2.22661,6.70282,-4.5987
0.349381,2.59077,0.00124243,-0.00927977,-0.328396,-0.0799497,-0.0444537,0.105395,0.000727067,0.105398,-0.0444572,1.56594,0.00848675,69,64,0.270956,7.13566,6.01339,2.31625,6.65681,-4.5278
0.692031,2.59273,0.00192021,-0.0280394,-0.332281,-0.0794622,-0.0446878,0.105549,0.00174958,0.10557,-0.0447081,1.55915,0.00840225,76,64,-0.116831,7.21798,5.56213,2.44446,6.58338,-4.46919
1.03424,2.59421,0.00123847,-0.0460288,-0.338075,-0.0776589,-0.0449198,0.105694,0.00279127,0.105746,-0.0449715,1.55227,0.00849201,83,64,-0.495776,7.33817,5.11108,2.63488,6.48649,-4.38749
-1.0235,2.25778,0.000616466,0.0697184,-0.382361,-0.0796231,-0.0489566,0.115969,-0.00228516,0.116001,-0.0489883,-1.55694,0.0093882,41,71,1.89649,8.30002,7.81618,2.8529,6.84894,-5.12643
