Data
Headers, Channel 0 (PXI1Slot5/0) Amplitude, Channel 0 (PXI1Slot5/0) Frequency
Channel, Channel 0, Channel 0
Measurement, Amplitude, Frequency
Value, NaN, NaN
Mean, NaN, NaN
Minimum, NaN, NaN
Maximum, NaN, NaN
Range, NaN, NaN
Standard deviation, NaN, NaN
Count, 0, 0
