Data
Headers, Channel 0 (PXI1Slot5/0) Mean, Channel 1 (PXI1Slot5/1) Mean
Channel, Channel 0, Channel 1
Measurement, Mean, Mean
Value, -3.90109328682976, 8.87057540440858
Mean, -3.20242462660131, 6.05200241961261
Minimum, -3.9099745978397, -7.49866406376826
Maximum, 3.93263074594536, 8.87057540440858
Range, 7.84260534378507, 16.3692394681768
Standard deviation, 1.90951726096296, 3.65663009164661
Count, 28, 28
