Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.140723854223919, 0.00000281, 100000
Channel 1 (PXI1Slot5/1), -0.140723854223919, 0.00000281, 100000

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-1.99579965870362, -1.72316062086924
-1.99715918523725, -1.7163473745781
-1.99987823830452, -1.72043532235278
-1.99308060563635, -1.7054461805123
-1.99172107910272, -1.71225942680343
-1.99036155256908, -1.71771002383633
-1.99579965870362, -1.7108967775452
-2.00123776483815, -1.70953412828697
-2.00123776483815, -1.71362207606165
-1.99579965870362, -1.7163473745781
-1.99579965870362, -1.71225942680343
-1.99579965870362, -1.71498472531988
-1.99715918523725, -1.71907267309456
-1.99308060563635, -1.72043532235278
-1.98764249950182, -1.71362207606165
-1.98628297296818, -1.71498472531988
-1.99036155256908, -1.71498472531988
-1.99851871177088, -1.71225942680343
-1.99987823830452, -1.71225942680343
-1.99579965870362, -1.72043532235278
-1.99172107910272, -1.71362207606165
-1.99715918523725, -1.70680882977052
-1.99715918523725, -1.72179797161101
-1.99715918523725, -1.70680882977052
-2.00531634443905, -1.71362207606165
-1.99715918523725, -1.70953412828697
-1.99579965870362, -1.71907267309456
-1.99444013216998, -1.70135823273762
-1.98900202603545, -1.70680882977052
-1.99308060563635, -1.70272088199584
-1.99036155256908, -1.71225942680343
-1.99444013216998, -1.71225942680343
-1.99308060563635, -1.7108967775452
-1.98492344643455, -1.70135823273762
-1.99172107910272, -1.70817147902875
-1.99308060563635, -1.7108967775452
-1.98220439336728, -1.71225942680343
-1.99579965870362, -1.71225942680343
-1.99715918523725, -1.70953412828697
-2.00259729137179, -1.70817147902875
-1.99444013216998, -1.71225942680343
-1.99579965870362, -1.70817147902875
-1.99172107910272, -1.71225942680343
-1.99308060563635, -1.7163473745781
-1.99172107910272, -1.71225942680343
-1.99715918523725, -1.71498472531988
-1.99444013216998, -1.7054461805123
-1.99444013216998, -1.70953412828697
-1.99036155256908, -1.70680882977052
-1.99036155256908, -1.70817147902875
-1.99851871177088, -1.7108967775452
-1.99987823830452, -1.72043532235278
-1.98764249950182, -1.71362207606165
-1.99036155256908, -1.7108967775452
-1.99036155256908, -1.72043532235278
-1.98900202603545, -1.71362207606165
-1.99308060563635, -1.71362207606165
-1.99715918523725, -1.71907267309456
-1.99308060563635, -1.71498472531988
-1.99172107910272, -1.71362207606165
-1.99172107910272, -1.72179797161101
-1.99036155256908, -1.72179797161101
-1.98764249950182, -1.71907267309456
-1.99172107910272, -1.71225942680343
-1.99444013216998, -1.7163473745781
-1.98628297296818, -1.71225942680343
-1.98628297296818, -1.72043532235278
-1.99308060563635, -1.71907267309456
-1.99579965870362, -1.71498472531988
-1.99172107910272, -1.71225942680343
-1.99715918523725, -1.72588591938569
-1.98764249950182, -1.7163473745781
-1.99715918523725, -1.72043532235278
-1.99308060563635, -1.7163473745781
-1.99172107910272, -1.71225942680343
-1.99036155256908, -1.72179797161101
-1.99444013216998, -1.7163473745781
-1.99444013216998, -1.71362207606165
-1.99444013216998, -1.72316062086924
-1.99172107910272, -1.71498472531988
-1.99172107910272, -1.72316062086924
-1.99036155256908, -1.71771002383633
