Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.140724592290076, 0.00000281, 100000
Channel 1 (PXI1Slot5/1), -0.140724592290076, 0.00000281, 100000

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-2.98417544865515, -2.6538500642377
-2.98553497518878, -2.64567416868834
-2.98825402825605, -2.64431151943012
-2.99777071399149, -2.64976211646302
-2.98961355478968, -2.64158622091366
-2.98961355478968, -2.64294887017189
-2.99505166092422, -2.64431151943012
-2.98961355478968, -2.64158622091366
-2.99097308132332, -2.64294887017189
-2.98689450172242, -2.65112476572125
-2.99641118745785, -2.64703681794657
-2.99777071399149, -2.63749827313899
-2.99233260785695, -2.63477297462253
-2.99777071399149, -2.6483994672048
-2.99233260785695, -2.64294887017189
-2.98961355478968, -2.64431151943012
-2.98961355478968, -2.64703681794657
-2.99913024052512, -2.64294887017189
-2.99097308132332, -2.63749827313899
-2.99369213439059, -2.63886092239721
-2.99777071399149, -2.63341032536431
-2.99641118745785, -2.63749827313899
-2.98553497518878, -2.63204767610608
-2.99369213439059, -2.63613562388076
-2.99369213439059, -2.63613562388076
-2.99233260785695, -2.63477297462253
-2.99777071399149, -2.62659707907318
-2.99505166092422, -2.63204767610608
-2.99097308132332, -2.63613562388076
-2.98961355478968, -2.62387178055672
-2.99369213439059, -2.63204767610608
-2.98961355478968, -2.62932237758963
-2.99505166092422, -2.6225091312985
-2.99097308132332, -2.63341032536431
-2.99369213439059, -2.6279597283314
-2.99777071399149, -2.62932237758963
-2.98961355478968, -2.62659707907318
-2.98689450172242, -2.61978383278205
-2.99505166092422, -2.62659707907318
-2.99777071399149, -2.63204767610608
-2.99913024052512, -2.62387178055672
-2.99505166092422, -2.62659707907318
-2.99097308132332, -2.61569588500737
-2.99641118745785, -2.61024528797446
-2.99097308132332, -2.61297058649092
-2.99369213439059, -2.6225091312985
-2.98825402825605, -2.6225091312985
-2.98825402825605, -2.6225091312985
-2.99505166092422, -2.61842118352382
-2.99097308132332, -2.61569588500737
-2.99505166092422, -2.61433323574914
-2.99233260785695, -2.6225091312985
-2.98553497518878, -2.61569588500737
-2.98825402825605, -2.60751998945801
-2.99233260785695, -2.61297058649092
-2.98961355478968, -2.61433323574914
-2.98961355478968, -2.61297058649092
-2.99505166092422, -2.61978383278205
-2.99505166092422, -2.61297058649092
-2.99097308132332, -2.61705853426559
-2.99777071399149, -2.61705853426559
-2.99233260785695, -2.61024528797446
-2.98961355478968, -2.6225091312985
-2.98961355478968, -2.61160793723269
-2.98961355478968, -2.60615734019978
-2.98145639558788, -2.61569588500737
-2.99369213439059, -2.61705853426559
-2.99097308132332, -2.61705853426559
